judul,penulis,sinopsis
"Love Talk 1.0 - Single, Dating and Everthing in between Tim Pakpahan & Chelsea Tjandra",Timothy Pakpahan,"Kamu pasti sering kan ngeliat foto-foto atau video di social media dengan hashtag #relationshipgoals? Keliatannya indah banget gak sih… Seakan-akan relationship mereka bebas dari masalah, seru dan romantis. Dan gak heran kok kalau kamu mulai berpikir “Mau dong punya relationship kayak gitu!”. Sayangnya… kita gampang ketipu sama apa yang kita liat di sosmed. Bukan karena yang ngepost #relationshipgoals itu menipu, tapi karena apa yang kita liat di sosmed itu sebenernya hanya sebagian kecil dari relationship mereka yang sebenernya. Tapi jangan khawatir, karena hubungan yang sebenernya bisa menjadi jauh lebih indah dari apa yang kamu liat di sosmed. Bebas dari masalah? Gak mungkin. Tapi indah,
intim dan seru? Mungkin banget!

Kita berharap buku ini bisa menjadi jawaban untuk beberapa pertanyaan yang mungkin ada di pikiran kamu saat ini, seperti:
• Salah gak sih kalau aku mau cepet-cepet punya pacar?
• Gimana sih cara komunikasi yang baik sama pacar?
• Hubungan yang sehat itu seperti apa sih?
• Kenapa ya kadang aku merasa gak dikasihi dalam hubungan ini?
• Bagaimana sih cara menghadapi konflik dengan sehat?
• Apakah dia orang yang tepat? Apakah aku harus lanjut atau putus?

Dalam buku ini, Tim & Chels menceritakan pengalaman mereka dan pengalaman orang-orang terdekat mereka, yang telah mengajarkan mereka kunci-kunci penting dalam membangun hubungan yang sehat dan menyenangkan. Inget, kita semua layak untuk memiliki hubungan yang sehat, kita semua layak untuk memiliki seseorang yang bisa menghargai dan mengasihi kita."
Things Left Behind: Hal-Hal yang Kita Pelajari dari Mereka yang Telah Tiada,Kim Sae Byoul,"Apakah yang akan terjadi setelah kita mati?
Bagaimanakah kisah sesungguhnya di balik kematian seseorang?
Sungguhkah kesepian bisa membuat orang kehilangan semangat hidup?

Buku ini mengungkap beragam kisah nyata di balik kematian yang diceritakan
oleh seorang pengurus barang-barang peninggalan orang yang sudah meninggal, baik yang meninggal karena sebab natural maupun tidak. Saat diminta membersihkan barang milik orang yang telah meninggal, terkadang ditemui kasus-kasus mengejutkan, seperti orang tua yang meninggal tanpa diketahui orang lain dan jenazahnya baru ditemukan berminggu-minggu kemudian.

Ditulis dengan jernih dan menyentuh, buku yang mengilhami K-drama Move
to Heaven ini menggabungkan pengalaman pribadi dan renungan personal
dengan bahasa yang mengalir dan enak dibaca.

Inilah buku menarik yang akan membuat pembaca menangis terharu, sekaligus menyadarkan kita akan hal-hal penting yang selama ini luput dari perhatian, antara lain betapa berharganya kehidupan, keluarga, kasih sayang, dan persahabatan."
Empowered ME (Mother Empowers): Ibu Berdaya Dimulai dari Diri Sendiri,Puty Puar,"Perempuan berdaya bisa diartikan sebagai perempuan yang memiliki kekuatan/kemampuan memilih atau mengambil keputusan untuk hidupnya sendiri.

Setelah menjadi ibu, tidak sedikit perempuan yang merasa kewalahan dengan adanya tambahan peran dalam hidupnya. Berbagai ekspektasi yang terbentuk di masyarakat dan hadir setiap saat melalui media sosial kerap membuat ibu semakin sulit memahami dirinya sendiri. Padahal pemahaman akan diri sendiri, peran, dan tujuan adalah dasar dari kepercayaan diri dalam pengambilan keputusan.

Ketika seorang ibu berdaya; merasa kuat, dan percaya diri akan pilihan hidupnya, ini akan menciptakan dampak positif bukan hanya bagi dirinya, tapi juga keluarga dan masyarakat; termasuk para perempuan di sekelilingnya.

Buku berilustrasi ini diharapkan bisa menjadi teman bagi para perempuan termasuk ibu-ibu untuk lebih memahami dan memercayai diri serta menghargai proses bertumbuh dalam hidup. Terdapat pula beberapa templat yang dapat mengarahkan penyusunan prioritas, pengukuran kemajuan, dan refleksi diri."
A Teen’s Guide to Self-Discovery,Naura Ayu,"Memasuki masa remaja, ada banyak perubahan yang kita alami. Ada serunya, tapi ada juga yang bikin bingung dan sedih. Thats why I decided to make this book. Pertanyaan dan curhatan soal permasalahan remaja yang Teman Naura kirimkan selama ini aku kumpulkan dan rangkum dalam buku keenamku. Aku juga share pengalaman dan kasih masukan buat problem yang kalian alami. I want to be one of your support systems! Oh ya, aku juga dibantu psikolog, Kak Saskhya, yang saran-sarannya pasti berguna banget buat kita.

Being a teenager is hard as it can be, but lets make the most out of it! Together we can be our best self and through it all!"
Tak Apa-Apa Tak Sempurna,Brene Brown,"Di dalam buku terlaris menurut New York Times yang mengguncang ini, Dr. Brené Brown mengajak kita untuk belajar menerima diri apa adanya, tidak terlalu mencemaskan “apa yang orang lain pikirkan” tentang diri kita, sehingga kita bisa lebih mencintai diri sendiri apa adanya. Tidak apa-apa jika kita tidak sempurna. Dia mengajari cara untuk menjalani hidup dengan sepenuh hati, dengan merangkul kerapuhan dan kerentanan kita, serta menumbuhkan keberanian, belas kasih, dan keterhubungan.

Menjalani sepuluh pilar petunjuk kekuatan hidup dengan Sepenuh Hati—sebuah cara yang ditawarkan oleh Dr. Brené Brown untuk terlibat dengan dunia —akan membuat kita menjadi lebih sehat, lebih bahagia, dan lebih bersyukur."
Loving The Wounded Soul,Regis Machdy,"Depresi adalah penyakit yang sangat mengganggu, bahkan dapat memunculkan keinginan untuk mengakhiri hidup bagi yang mengalaminya. Di tengah pergulatan orang dengan depresi, banyak stigma yang melabeli sehingga mereka kesulitan untuk mendapatkan pertolongan. Regis, sebagai salah satu penyintas depresi dan akademisi psikologi, akan mengungkap apa itu depresi dan mengapa depresi rentan dialami manusia abad ini.

Buku Loving the Wounded Soul membahas depresi secara komprehensif, mulai dari aspek klinis dan budaya, faktor internal dan eksternal, serta higher meaning dari kehadiran depresi itu sendiri. Tak hanya menjadi pedoman bagi orang dengan depresi, buku ini juga penting bagi pendamping dan siapa saja yang ingin memahami kompleksitas jiwa sekaligus menemukan makna sejati kehidupan."
Blink : Kemampuan berpikir tanpa berpikir,Malcolm Gladwell,"Blink adalah buku mengenai dua detik pertama yang sangat menentukan ketika kita mengamati sesuatu—dua detik yang akan memberikan pemahaman dalam sekejap mata, yang terbentuk berkat pilihan-pilihan yang muncul dari “komputer internal” kita, alias kemampuan bawah sadar. Kemampuan inilah yang oleh Malcolm Gladwell disebut “kemampuan berpikir tanpa berpikir”, ketika keputusan sekejap bisa didapat dari informasi yang sedikit tapi akurat melalui snap judgment dan thin slicing.

Dalam Blink, kita akan melihat contoh-contoh menakjubkan kehebatan snap judgment dan thin slicing. Pakar benda seni yang mengenali barang antik palsu dalam sekali lihat, ahli cicip makanan yang mampu membedakan keripik mana adalah buatan pabrik mana dalam sekali gigit, atau gelas mana yang berisi Pepsi dan gelas mana yang berisi Coca-Cola dalam sekali sesap.

Buku ini juga memberikan gambaran betapa berbahayanya membuat kesimpulan cepat: pemasar bisa memanipulasi kesan pertama konsumen, polisi bisa saja menembak mati seseorang yang tak bersalah, dan pemilih
dalam pemilu bisa saja memilih calon presiden yang tampan tapi ternyata tidak mampu bekerja.

Blink menyingkapkan bahwa orang yang pandai mengambil keputusan yang tepat bukanlah orang yang memproses paling banyak informasi atau yang sengaja menghabiskan waktu paling lama, tapi orang yang telah
melatih diri untuk menyempurnakan seni membuat cuplikan tipis—thin slicing—yaitu menyaring sesedikit mungkin faktor terpenting dari sejumlah kemungkinan yang menggunung"
Seni Hidup Minimalis,Francine Jay,"Pernahkah Anda menatap semua barang yang Anda beli, warisi, atau terima di rumah, dan merasa pengap, bukannya senang?

Apakah Anda mengalami kesulitan mengatasi utang kartu kredit, bahkan tidak ingat lagi apa saja yang telah Anda beli?

Pernahkah Anda berharap ada angin kencang yang meniup semua kekacauan di rumah agar Anda bisa memulai lembaran baru?

Buku ini bisa menjadi penyelamat Anda!

Bagian pertama buku ini akan menumbuhkan pola pikir minimalis. Bagian kedua berisi metode STREAMLINE—satu dari sepuluh teknik paling efektif untuk menjaga rumah tetap rapi. Bagian ketiga mengajak Anda menggunakan langkah-langkah khusus untuk menangani setiap ruangan di rumah. Di bagian keempat, Anda akan melihat bagaimana konsep minimalis membuat kita lebih ramah lingkungan sehingga mampu melestarikan Bumi untuk generasi berikutnya."
Loneliness Is My Best Friend,Alvi Syahrin,"Dan di sinilah kamu, menyentuh buku ini, sendiri saja, trying to feel something, trying to find a friend, dan kamu sudah ada di langkah yang tepat karena dengan buku ini akan membantumu berdamai dengan rasa sepi.
Isi buku:
Jujur, aku merasa nggak punya teman.
Aku cuma butuh teman cerita, satu aja.
Sekarang, aku seseorang tanpa circle.
Aku selalu jadi opsi kedua di hidup orang.
Latihan berteman dengan diri sendiri.
Jadi dewasa itu sepi, ya.
Keluargaku nggak sehangat keluarga lain.
Kayaknya, nggak ada yang sayang sama aku.
Aku nggak pernah punya kisah cinta.
Cara paling ampuh berdamai dengan kesepian"
The Power Of Now: Pedoman Menuju Pencerahan Spiritual,Eckhart Tolle,"“The Power of Now adalah buku wajib baca bagi siapa saja yang mencari spiritualitas modern. Bacaan penting bagi siapa saja yang begitu terbebani oleh masa lalu atau sangat takut menghadapi masa depan.”
—Red

“Salah satu naskah yang paling jelas dan paling dapat diakses tentang menjadi lebih hadir yang pernah kami lihat”
—Kindred Spirit

Eckhart Tolle, seorang penulis yang sangat sukses, akan membimbing kita melalui perjalanan yang menantang, tetapi memberikan kepuasan luar biasa dalam perjalanan menemukan The Power of Now. Kita akan mendapati bahwa kita bisa menemukan jalan keluar dari kepedihan psikologis; bahwa kekuatan manusia yang sejati dapat ditemukan dalam penyerahan diri terhadap Saat Sekarang; bahwa keheningan dan ruang di sekitar kita merupakan salah satu kunci untuk memasuki kedamaian batin. Dalam Saat Sekarang, pada saat ini, masalah tidak hadir. Dalam Saat Sekarang, kita akan mendapati bahwa kita telah lengkap dan sempurna.

Eckhart Tolle dilahirkan di Jerman, tamat dari The University of London dan bekerja di Cambridge University. Ketika ia berusia 29 tahun, sebuah transformasi spiritual yang mendalam benar-benar melenyapkan identitas lamanya dan mengubah arah hidupnya secara radikal. Sekarang ia berkarya sebagai penasihat dan guru spiritual.

"
Ketika Aku Tak Tahu Apa Yang Aku Inginkan,Jeon Seunghwan,"Apa yang benar-benar aku inginkan? Apakah aku sudah hidup dengan benar? Bagaimana aku harus menjalani hidup ke depannya?
Kehidupan laksana rangkaian pertanyaan yang tiada berakhir.
Menemukan jawabannya dengan kekuatan sendiri tidaklah mudah.

• Mengapa hatiku selalu merasa sepi dan hampa?
• Mengapa bertemu orang lain menjadi hal yang melelahkan?
• Mengapa aku tidak merasa bahagia padahal sudah menjalani hidup dengan sebaik-baiknya?
• Apakah hidup tanpa jiwa seperti ini bisa disebut kehidupan?

Kalau pertanyaan-pertanyaan seperti itu terus berputar di kepala, kita jadi kelelahan dan kehilangan semangat melakukan segala hal. Kita jadi bisa sering menangis tiba-tiba. Tangisan itu muncul dari luapan emosi kita yang terpendam ketika menjalani hari-hari yang sibuk—tak punya waktu untuk menenangkan hati dan tubuh yang letih atau memikirkan jawaban atas pertanyaan-pertanyaan tersebut.

Dalam tujuh tahun terakhir, penulis buku ini membagikan berbagai kalimat baik melalui berbagai aktivitas di “thebookman” melalui media seperti Facebook dan Kakao Story. Banyak orang dari berbagai generasi, pekerjaan, dan gender merasa terinspirasi dan mengatakan tulisan tersebut bagaikan “kalimat yang mengerti isi pikiran saya”."
How to Win Friends and Influence People: Edisi yang Diperbarui,Dale Carnegie,"Anda bisa mengejar pekerjaan yang Anda inginkan… dan mendapatkannya! Anda bisa memiliki pekerjaan idaman… dan meningkatkannya! Anda bisa menghadapi situasi apa pun.. dan memaksimalkannya!

Nasihat-nasihat Dale Carnegie yang teruji waktu telah membawa tak terhitung banyaknya orang mendaki tangga kesuksesan dalam kehidupan pribadi dan bisnis. Salah satu buku terlaris sepanjang masa yang menjadi landasan buku-buku laris lainnya, How to Win Friends & Influence People, akan memberi Anda:

• 6 cara untuk membuat orang menyukai Anda

• 12 cara untuk membuat orang menerima pemikiran Anda

• 9 cara untuk mengubah orang tanpa membuat mereka kesal

Dan lebih banyak lagi! Raih potensi maksimal Anda dengan buku wajib baca di abad ke-21 ini, yang sudah terjual puluhan juta eksemplar!"
I Want To Die But I Want To Eat Tteokpokki,Baek Se Hee,"Aku: Bagaimana caranya agar bisa mengubah pikiran bahwa saya ini standar dan biasa saja?
Psikiater: Memangnya hal itu merupakan masalah yang harus diperbaiki?
Aku: Iya, karena saya ingin mencintai diri saya sendiri.

I Want to Die bit I Want to Eat Tteokpokki adalah esai yang berisi tentang pertanyaan, penilaian, saran, nasihat, dan evaluasi diri yang bertujuan agar pembaca bisa menerima dan mencintai diri sendiri.

Buku self improvement ini mendapatkan sambutan baik karena pembaca merasakan hal yang sama dengan kisah Baek Se Hee sehingga buku ini mendapatkan predikat bestseller di Korea Selatan."
Think Again: Kekuatan Mengetahui Apa yang Tidak Diketahui,Adam Grant,"Adam Grant, penulis buku Originals, meneliti seni kritis berpikir ulang: belajar mempertanyakan pendapat Anda dan membuka pikiran orang lain, supaya Anda unggul di tempat kerja dan bijaksana dalam hidup.

Kecerdasan biasanya dilihat sebagai kemampuan untuk berpikir dan belajar, tetapi di dunia yang berubah dengan cepat, ada seperangkat keterampilan kognitif lain yang mungkin lebih penting: kemampuan memikirkan kembali dan melupakan. Dalam kehidupan sehari-hari, kita lebih menyukai kepastian yang nyaman dibanding keraguan yang membuat gelisah. Hasilnya, keyakinan kita jauh lebih rapuh ketimbang tulang. Kecerdasan bukanlah obat, dan bahkan bisa menjadi kutukan: semakin pintar, kita semakin buta akan keterbatasan diri sendiri.

Think Again mengungkapkan bahwa kita tidak harus memercayai semua yang kita pikirkan atau menginternalisasi semua yang kita rasakan. Ini adalah undangan untuk melepaskan pandangan yang tidak lagi membantu kita, dan ajakan untuk lebih menghargai fleksibilitas mental ketimbang konsistensi yang bodoh. Jika pengetahuan adalah kekuatan, mengetahui apa yang tidak kita ketahui adalah kebijaksanaan."
80/20 Prinsip Pareto Untuk Mendapatkan Hasil Luar Biasa,Richard Koch,"Prinsip Pareto, atau disebut juga aturan 80/20, yang telah terbukti dalam dunia sains, bisnis, dan ekonomi, menyatakan bahwa 80 persen hasil atau efek disebabkan oleh 20 persen upaya atau kausa. Sekadar contoh, 20 persen pelanggan umumnya berkontribusi pada 80 persen keuntungan perusahaan; 20 persen bintang media mendominasi 80 persen pemberitaan; 20 persen penulis menghasilkan 80 persen buku yang terjual; dan kurang dari 20 persen ilmuwan menghasilkan lebih dari 80 persen terobosan ilmiah.

Prinsip 80/20 yang berlaku dalam semua aspek kehidupan ini sangat mengejutkan sekaligus menakjubkan. Tidak seperti yang kita bayangkan, ada ketimpangan besar antara kausa dan hasil. Sekarang, Pichard Koch, dengan gagasan bahwa aturan 80/20 memungkinkan siapapun mendapatkan hasil luar biasa tanpa usaha yang luar biasa, menunjukkan cara menerapkan prinsip itu dalam hidup kita.

Kita selalu bisa meraih lebih banyak yang kita inginkan dengan lebih sedikit waktu, tenaga, dan kekhawatiran. Gagasan ini, bahwa kita tidak hanya bisa memperbaiki keadaan secara dramatis tetapi juga melakukannya dengan lebih sedikit usaha, sangat revolusioner dan bertentangan dengan pandangan yang selama ini didengungkan, seperti ""no pain, no gain"" atau ""apa pun yang layak dicapai membutuhkan kerja keras"". Mencurahkan waktu pada hal-hal yang paling penting berarti menghilangkan dan mengurangi semua aktivitas yang tidak perlu, kemudian berfokus pada beberapa aktivitas krusial yang memberi Anda keberhasilan dan kebahagiaan terbesar."
Stoik: Apa dan Bagaimana,Massimo Pigliucci,"Bagaimana ajaran kuno Stoik bisa membantu kita bertumbuh pada masa modern? Setiap kali merasa khawatir tentang apa yang akan kita makan, bagaimana kita bisa mencintai seseorang, atau bagaimana cara mencapai kebahagiaan, sebenarnya kita sedang memikirkan cara menjalani hidup yang baik. Stoikisme bisa jadi adalah jawabannya, karena membuat kita memusatkan perhatian pada apa yang mungkin dan memberikan perspektif tentang apa yang tidak penting. Dengan memahami Stoikisme, kita bisa belajar menjawab pertanyaan-pertanyaan penting seperti: Perlukah kita tetap mempertahankan hubungan atau berpisah? Bagaimana sebaiknya kita mengelola uang di dunia yang nyaris hancur karena krisis keuangan? Bagaimana kita bisa bertahan setelah mengalami tragedi pribadi? Stoikisme mengajari kita pentingnya karakter, integritas, dan belas kasih dalam diri seseorang. Buku ini, yang merupakan panduan penting untuk memahaminya, dilengkapi dengan tips praktis dan latihan serta meditasi dan kesadaran akan saat ini dan di sini, memberi gambaran tentang betapa relevannya Stoikisme dalam setiap segi kehidupan kita saat ini."
Leaders Eat Last,Simon Sinek,"Para pemimpin adalah mereka yang maju lebih dulu mengadang bahaya. Mereka mengesampingkan kepentingan diri sendiri demi melindungi kita atau demi membawa kita ke masa depan.

Para pemimpin sigap mengorbankan milik mereka demi menyelamatkan milik kita. Dan mereka tidak akan pernah mengorbankan milik kita untuk menyelamatkan milik mereka.

Itulah arti menjadi pemimpin.

Dalam organisasi yang sukses, para pemimpin hebat menciptakan lingkungan yang memungkinkan orang-orang secara alami bekerja sama untuk melakukan hal-hal luar biasa.

Ketika kita merasa yakin bahwa mereka akan membuat kita aman, kita akan bekerja bahu-membahu di belakang mereka, berkarya tanpa lelah untuk mewujudkan visi mereka, dan dengan bangga mengikuti arah langkah mereka.

Apakah Anda seorang pemimpin?"
Rahasia Magnet Rezeki,Nasrullah,"Dalam buku magnet rezeki, kita akan memiliki sudut pandang bahwa semua adalah “energi”. Manusia adalah energi, handphone adalah energi, buku yang Anda sedang pegang adalah energi, kata-kata yang tersusun adalah energi.

Energi baik, akan bertemu dengan energi baik. Energi tidak baik dalam diri, maka energi baik dari luar tidak akan mendekat. Rezeki adalah energi baik. Maka untuk mendatangkan rezeki caranya sederhana : ciptakan energi baik dalam diri, maka rezeki akan datang dengan sendirinya.

Keluhan, iri hati, dengki, sombong, adalah energi-energi yang tidak baik. Energi seperti itu yang akhirnya membuat rezeki tidak datang.

Kerja keras yang biasa dilakukan oleh manusia pada umumnya adalah kerja keras dalam mencari uang. Pergi pagi pulang malam, jungkir balik ngejar proyek, saling sikat sikut dengan pesaing. Jika kerja sekeras itu dilakukan, tapi energi baik dalam diri tidak diupayakan, bukannya menarik rezeki malah mengusir rezeki.

Kerja keras dalam menciptakan energi baik dalam diri adalah jalan terbaik menciptakan rezeki. Bekerja keras dalam berpikir positif, bekerja keras untuk shalat tepat waktu, kerja keras tilawah qur’an, kerja keras berpuasa, kerja keras membahagiakan orang lain, adalah upaya-upaya yang secara tepat mengundang rezeki.

Saat energi baik sudah terkumpul dalam diri, rezeki otomatis datang. Itulah magnet rezeki. Se-simpel itu.

Buku ini didesain untuk memudahkan Anda meraih keajaiban magnet rezeki. Prinsip-prinsip yang teruji dipadu dengan cerita-cerita keajaiban yang diungkap dari berbagai kisah nyata, menjadikan Anda seperti memiliki sahabat dalam mengarungi kehidupan Anda yang hebat menjadi lebih luar biasa."
How to Win Friends and Influence People in the Digital Age,Dale Carnegie,"Merayakan ulang tahun ke-75 buku laris How to Win Friends & Influence People, hadir adaptasi karya Carnegie yang tak lekang waktu dan disesuaikan dengan era digital:

Karya klasik yang dianggap sebagai buku motivasi paling sukses sepanjang masa dan sudah terjual sebanyak 30 juta eksemplar di seluruh dunia ini telah membawa jutaan pembaca mendaki anak tangga kesuksesan dalam bisnis serta kehidupan pribadi. Sekarang, buku pertama dan terbaik dalam bidangnya ini diperbarui untuk membantu Anda menaklukkan kerumitan masa modern serta akan mengajari Anda cara:

- BERKOMUNIKASI menggunakan DIPLOMASI dan TAKTIK
- Menemukan NUANSA dan NILAI dalam MEDIA ONLINE
- Membuat ORANG MENYUKAI ANDA
- MEMBANGUN dan MEMANFAATKAN JEJARING yang SOLID
- Menjadi PEMBICARA Yang LEBIH PERSUASIF
- MENYAMPAIKAN PESAN Anda dengan LEBIH LUAS dan JELAS
- Menjadi PEMIMPIN yang LEBIH EFEKTIF
- MENGUASAI ERA INTERNET
- MENINGKATKAN KEMAMPUAN MENYELESAIKAN PEKERJAAN
- MEMAKSIMALKAN KEKUATAN SARANA DIGITAL"
Berani Bahagia,Ichiro Kishimi Dan Fumitake Koga,"bagaimana bila satu pilihan sederhana bisa menguak takdir Anda?

Buku yang membuka mata dan mudah dipahami ini memaparkan pengajaran yang kuat dari Alfred Adler, salah satu tokoh besar psikologi abad kesembilan belas, lewat percakapan yang gamblang antara seorang filsuf dan seorang pemuda.

Tiga tahun setelah percakapan pertama mereka, si pemuda merasa kecewa karena mendapati bahwa gagasan Adler hanya bekerja dalam teori, bukan praktik keseharian. Namun, lewat dialog mendalam antara sang filsuf dan pemuda itu, mereka memperdalam pemahaman mereka tentang pengajaran Adler, mempelajari sarana-sarana yang diperlukan untuk menerapkannya dalam kekacauan hidup sehari-hari.

Entah dibaca sendiri atau melengkapi buku bestseller sebelumnya, Berani Tidak Disukai, buku ini mengungkap cara berpikir dan menjalani hidup yang baru dan berani, memberdayakan Anda untuk melepaskan belenggu trauma masa lalu dan ekspektasi orang lain, menggunakan kebebasan ini untuk menciptakan kehidupan yang benar-benar Anda dambakan.

Berani Bahagia akan menyalakan api yang menerangi hidup Anda dan mencerahkan dunia. Temukan keberanian untuk memilih menjadi bahagia."
Almost Adulting: Self-Help Approach to Deal With Quarter-Life Crisis,NADHIRA AFIFA,"“Dengan ribuan opsi karier dan penghargaan yang ada di dunia ini, kenapa saya cuma jadi medioker, ya?”

Memasuki usia 20 tahun, saya mulai dihadapkan dengan berbagai pertanyaan terkait jati diri. Banyak pertanyaan yang menggelisahkan batin: sekian tahun ke belakang, sudah ngapain saja? Mau jadi apa di masa depan? Apa tujuan hidup saya? Will I ever be enough?

Di situlah saya merasa, saya sedang mengalami masa quarter-life crisis—di mana hidup diisi banyak kebingungan karena tidak ada opsi ataupun karena terlalu banyak opsi.

Tujuh tahun berlalu dan kebingungan itu ternyata masih ada. Menariknya, saya mulai bisa menerima bahwa kebingungan ini mungkin akan berlangsung seumur hidup, dan ternyata ini nggak masalah. So maybe after all, we’re not in crisis—we’re in the constant process of finding.

Buku ini adalah salah satu bentuk refleksi dan penenangan diri bagi semua yang sedang mengalami krisis yang sama. Alih-alih berat, di dalamnya banyak topik praktis dan relevan untuk para pembaca."
How To Respect Myself,YOON HONG GYUN,"BAGAIMANA ANDA MENJAGA DAN MENCINTAI DIRI SENDIRI?
Metode Pelatihan Mandiri untuk Harga Diri ala Dokter Kejiwaan dr. Yoon si Penjawab

Selain mengandung 24 latihan untuk meningkatkan kepercayaan diri, buku ini juga terbagi dari tujuh bagian berikut.

Bagian pertama penanganan kesalahpahaman dan prasangka atas harga-diri serta mengajak Anda menyadari pentingnya kepercayaan diri dalam kehidupan.
Bagian dua dan tiga memaparkan penanganan hubungan percintaan, relasi, dan perpisahan yang dapat menurunkan kepercayaan diri.
Bagian empat dan lima merupakan panduan menangani emosi. Dalam bagian-bagian ini disertakan tip dan trik menangani perasaan rendah diri, seperti membenci diri sendiri, depresi, dan kecemasan.
Bagian enam dan tujuh memaparkan berbagai tip praktis, spesifik, dan efektif yang dapat meningkatkan kepercayaan diri.

Setelah membaca buku ini, pada akhirnya Anda akan memiliki perspektif hidup yang berbeda dan mulai mencintai diri sendiri apa adanya. Tak ada lagi kebimbangan dalam memutuskan segala hal dan terpengaruh pendapat atau penilaian orang lain."
Ikigai : Rahasia Hidup Bahagia dan Panjang Umur Orang Jepang,HECTOR GARCIA DAN FRANCESC,"Merasa lelah dengan hidupmu dan ingin lebih bahagia serta panjang umur? Pertama dan utama, jangan percaya omongan motivator! Kesuksesan dan kebahagiaan hidup tak semudah itu. Cobalah resep hidup bahagia orang Jepang yang sudah terbukti ini : Ikigai!

Orang Jepang percaya, setiap manusia memiliki Ikigai-nya sendiri-sendiri, yakni alasan kita hidup di dunia ini. Semacam tugas kehidupan yang membuat kita selalu semangat menjalani hidup, apa pun kondisinya. Maka tak heran, menurut data WHO, Ikigai telah membuat bangsa Jepang masuk dalam deretan manusia dengan rata-rata harapan hidup tertinggi di dunia dan bahagia."
Think and Grow Rich: Cara Para Jutawan dan Miliarder Meraih Kekayaan,Napoleon Hill,"Kekayaan dimulai dengan keadaan pikiran. Jika ingin menjadi pertama-tama kita harus mengubah pikiran agar menjadi, seperti Napoleon Hill menyebutnya, sadar akan uang. la mengatakan bahwa kita harus benar-benar BERPIKIR diri kita sendiri kaya. Istilah kaya bisa berarti segala bentuk kekayaan seperti uang, kebahagiaan, hubungan yang sehat, kesuksesan bisnis, dan lain-lain.

Sukses datang kepada mereka yang menjadi sadar sukses. Kegagalan datang kepada mereka yang dengan acuh tak acuh membiarkan diri mereka menjadi gagal sadar. Think ond Grow Rich akan membantu semua yang mencarinya, untuk mempelajari seni mengubah pikiran mereka dari SADAR KEGAGALAN menjadi SADAR KESUKSESAN.

Sebelum dapat mengumpulkan kekayaan dalam jumlah besar, kita harus menarik pikiran kita dengan keinginan kuat untuk kekayaan, bermimpi, berharap, berangan-angan, MENGINGINKAN, dan MERENCANAKAN sebelum mengumpulkan uang. Kita harus menjadi ""sadar uang"" sampai keinginan terhadap uang mendorong kita membuat rencana pasti untuk memperolehnya. Anda tidak akan pernah bisa mendapatkan kekayaan dalam jumlah besar, KECUALI bisa berupaya MENGINGINKAN uang dengan amat sangat, dan benar-benar PERCAYA bahwa Anda akan memilikinya."
Jika Kita Tak Pernah Jadi Apa-Apa,Alvi Syahrin,"Kau melihat teman-teman dan mereka sudah mendapatkan impian, sementara kau masih termangu menggenggam harapan. Pelan, dalam hati kau berujar, “Kapan mimpiku terwujud?”

Jika Kita Tak Pernah Jadi Apa-Apa

Selama perjalanan mencapai tujuan, adakalanya kau melihat sekeliling… menakar jauh jangkauan. Atau, kau malah membandingkannya dengan orang lain. Lalu, lupa melanjutkan perjalanan.

Jika Kita Tak Pernah Jadi Apa-Apa

Benarkah segala usaha dan upayamu selama ini lebur bersama kecewa yang kau bangun sendiri? Sungguhkah sesuatu yang hanya kau lihat dalam dunia maya menjadikanmu merasa bukan apa-apa?

Jika Kita Tak Pernah Jadi Apa-Apa akan menemanimu selama perjalanan. Buku ini untukmu yang khawatir tentang masa depan. Tenang saja, kau tidak sedang diburu waktu. Bacalah tiap lembarnya dengan penuh kesadaran bahwa hidup adalah tentang sebaik-baiknya berusaha, jatuh lalu bangun lagi, dan tidak berhenti percaya bahwa segala perjuanganmu tidak akan sia-sia. Bukankah sebaiknya apa-apa yang fana tidak selayaknya membuatmu kecewa?"
Seni Menguasai Lawan Bicara,WILLIAM ANDROMEDA,"Hidup harus berjalan dengan harmonis. Relasi di antara sesama manusia harus terjalin sedemikian rupa demi membangun koneksi yang kuat. Dalam hal itu pula, Anda perlu memiliki kemampuan komunikasi yang baik supaya tidak terjadi kesalahpahaman di antara Anda dan orang lain.

Manusia merupakan makhluk sosial. Sebagai makhluk sosial, maka Anda pasti berhubungan dan bekerja sama dengan orang lain. Salah satu bentuk kerja sama dan hubungan tersebut berwujud komunikasi yang dilakukan oleh hampir seluruh makhluk hidup di Bumi.

Dalam komunikasi antarmanusia, Anda berhadapan dengan lawan bicara ketika Anda dan dia membahas suatu kepentingan, persoalan, maupun hal-hal yang ringan. Tentu saja Anda tidak mau sekadar menjadi pendengar. Anda justru harus mampu menguasai keadaan dan menyeimbangkan bahkan menguasai topik percakapan dengan lawan bicara. Dengan kata lain, Anda harus menaklukkan lawan bicara.

Buku ini berisi tentang seni menaklukkan lawan bicara di kehidupan sehari-hari. Di dalamnya terdapat penjelasan tentang sosok, karakter, dan teknik percakapan lawan bicara serta cara Anda untuk menundukkannya. Panduan teknis dan contoh praktiknya disertakan sehingga Anda akan mudah menerapkan konsep-konsep dan berbagai triknya."
